name,fileorder,number,parkprop,borough,parkname,parknumber,commboard,council,Location,extant,dedicated,cast,descrip,dimen,sponsor,materials,foundry,fabricator,sculptor,architect,donor,maintain,contractor,created,Name2,Name3,MaintainedByParks,Installation,Rededication,Cost,Categories,inscribed
3000 A.D. Diffusion Piece,,2109,Y,Manhattan,,M099,12,10,Haven Avenue between West 173rd Street and West 176th Street,Y,1974,,Monolith of eight magnesium and aluminum plates with steel bolts set on steel base set in concrete pad with plaque,H: 35' W: 3' D: 1',,"Magnesium, aluminum, steel, concrete",,,Tery Fugate-Wilcox,,Public Arts Council and Neighborhood Action Council,,,,,,Y         ,,,,,3000 A. D. BY TERRY FUGATE-WILCOX / THE ALUMINUM & MAGNESIUM WILL MIX TOGETHER BY 3000 A.D
307th Infantry Memorial Grove,,1014,Y,Manhattan,Central Park,M010,7,8,East of Mall,Y,1925,,"15 tree markers, boulder, plaque",see memo,,"Bronze, Indiana limestone, concrete",,,,,Knights of Pythias (?),,,07/01/1993,,,Y         ,,,," War Memorial, World War I",1917 HONOR ROLL OF THE 307TH INFANTRY 1919 / 77TH DIVISION A.E.F. BACCARAT-OISE-MEUSE-ARGONNE/  (NAMES OF 590 MEN ARE LISTED IN 9 COLUMNS.) ON OPPOSITE SIDE OF BOULDER: TO THE DEAD / OF THE / 307TH INFANTRY A.E.F / 590 OFFICERS AND MEN / 1917-1919/
369th Infantry Regiment Memorial,,1980,Y,Manhattan,,,11,9,Fifth Avenue and West 142nd Street,Y,"September 29, 2006",,Obelisk (in 3 sections) with engraved and painted inscriptions,"H: 12'4""",,"Granite (gray, polished) with hand-cut gilt lettering and painting",,"J. P. Chaudron, Pompes Funebres, Vouziers, France",,,369th Historical Society & Veterans Association,,,,,,Y         ,07/28/2006,,," Soldier, War Memorial, World War I",North side: 93RD ST / DIVISION / (US) / [Insignia] / 369TH / INFANTRY / REGIMENT / (15TH REG-NYG) / (COLORED) / IN MEMORY / 1918 / MEUSE-ARGONNE / OFFENSIVE / RIPONT / MONT-CUVELET / SECHAULT / 26 SEP - 1OCT /   South side: 161 ST / DIVISION / (FR) / [Insignia] / 369TH / INFANTRY / REGIMENT / (15TH REG-NYG) / (COLORED) / IN MEMORY / 1918 / MEUSE-ARGONNE / OFFENSIVE / RIPONT / MONT-CUVELET / SECHAULT / 26 SEP - 1OCT /
A Bird Named Goldilocks,Bird Named Goldilocks,1913,Y,Staten Island,Clove Lakes Park,R005,1,49,Adjacent to the Stonehenge administration building,Y,"October 30, 1995",1995,"Hollowed out tree-stump form with a bird at a ""fairy-sized table setting"" in the hollow, placed at ground level, with information plaque in pavement in front of sculpture","H: 20"";  Overall circumference 38"";  Interior depth 8"" Plaque: 14"" x 10""",,Bronze (brown patina),"Modern Art Foundry, Inc.",,Ann Marie McDonnell,,"The Cultural Coalition of Staten Island, public art works project",,maintenance endowment to be arranged?,02/07/2001,,,Y         ,,,,,"""A BIRD NAMED GOLDILOCKS"" / ANN MARIE MCDONNELL / 1995 / RECIPIENT OF THE 1994 / PUBLIC ART WORKS AWARD / SPONSORED BY / THE COUNCIL ON THE ARTS AND HUMANITIES / FOR STATEN ISLAND AND / THE NEW YORK CITY DEPARTMENT OF PARKS / "
Abe Stark Skating Rink,,1499,Y,Brooklyn,Abe Stark Skating Rink,B336,13,47,"Beach W. 19th and Surf Avenue; Boardwalk, left entrance",Y,1969,,Plaque on interior wall,,,Aluminum plate,,,,,DPR,,,07/01/1993,,,Y         ,,,, Politcal Figure,
Abingdon Square Doughboy,,1942,Y,Manhattan,,M001,2,3,"South end of park; West 12th Street, 8th Avenue, Hudson Street",Y,1921,ca. 1921,Figure (heroic scale) on pedestal,"H:1'7-1/2"" W: 10'3"" D: 10'3""",,"Bronze, Deer Isle granite","Bureau Brothers, Philadelphia",,Philip Martiny,William A. Hewlett (pedestal),The Jefferson Democratic Club,,,,,,Y         ,,,," War Memorial, World War I, Sculpture",ERECTED / BY POPULAR SUBSCRIPTION / IN HONOR / OF THE BRAVE MEN / WHO WENT FORTH / FROM THIS NEIGHBOR- / HOOD TO JOIN THE / ARMED FORCES OF / THE UNITED STATES DURING THE WORLD WAR
Abraham De Peyster,"De Peyster, Abraham",370,Y,Manhattan,Hanover Square Park,M030,1,1,North west path of park; Worth Street and Lafayette Street,Y,1896,1896,"Seated figure (over life-size) with integral plinth, on pedestal","Figure H: 7'4"" W: 4' D: 4'5""; Pedestal H: 8' 11"" W: 6'9""  D: 7'",,"Bronze, porphyry granite (polished)",E. Gruet Jne. Fondeur,,George Edwin Bissell,,John Watts De Peyster,,,07/01/1993,,,Y         ,,07/08/2014,," Politcal Figure, Public Servant","Pedestal front, top: ABRAHAM DE PEYSTER/ 1685 ALDERMAN, 1691-95 MAYOR, 1701 COMPTROLLER,/ AND 1708 RECEIVER GENERAL OF THE PORT OF NEW YORK;/ 1698 MEMBER OF EARL BELLOMONT'S COUNCIL / 1698  ASSOCIATE JUDGE OF THE SUPREME COURT / 1700 COLONEL COMMANDING REGIMENT OF MILITIA OR CITY TRAINED BANDS/  1701 CHIEF JUSTICE; 1701-PRESIDENT OF THE KINGS COUNCIL AND THUS/ ACTING GOVERNOR OF THE PROVINCE OF NEW YORK./ 1706-1721 TREASURER OF THE PROVINCES OF NEW YORK AND NEW JERSEY./ BORN 8TH JULY, 1657 -- DIED 2ND AUG 1728./ JOHANNES, COL. ABRAHAM DE PEYSTER'S FATHER/ WAS BURGOMASTER 1673, ALDERMAN 1666-69, 1673-76,/ AND DEPUTY MAYOR, N.Y. 1677./ JOHANNES, JR. HIS SON, ALDERMAN, 1700-1-10, MAYOR 1698.  Pedestal front, bottom: ERECTED BY/ JOHN WATTS DE PEYSTER,/ 7TH GENERATION IN DIRECT DECENT/ RESIDENT OF, AND 6TH BORN IN/ 1ST WARD, CITY OF NEW YORK.""  Sculpture base: GEO E  BISSELL, SCULPTOR, 1896  3) [on self-base, lower left] ""E  GRUET  JNE  FONDEUR  PARIS"""
Abraham Lincoln,,910,N,Brooklyn,,,13,47,ABRAHAM LINCOLN HIGH SCHOOL; Ocean Parkway and West Avenue,Y,1932,,Statue,,,,,,,,miss anne dickey,,,07/01/1993,,,,,,,,
Abraham Lincoln,"Lincoln, Abraham",911,Y,Brooklyn,Prospect Park,B073,0,39,Flower Garden,Y,"October 21, 1869",ca. 1869,"Standing figure (over life-size) on integral plinth on pedestal with wreaths and insignia of US Army and Navy at front and rear, and two eagles, one proper left and one proper right","Figure H: 8'6"" W: 3' 4"" D: 3'4""; Pedestal H: 10'4"" W: 7'6"" D: 7'6""; Eagles H: 30""; Wreath Diameter: 30""",MAS,"Figure, wreaths and eagles---bronze;  Pedestal--two types of granite",Lamoureux,,Henry Kirke Brown,,Citizens of the City of Brooklyn,,,07/01/1993,,,Y         ,,,," US President, Animal: other",
Abraham Lincoln,"Lincoln, Abraham",912,Y,Brooklyn,Grand Army Plaza,B040,19,33,"Soldiers and Sailors Memorial Arch, west pier, inside archway",Y,1901,ca. 1894,Medium relief,,Schwartz,Bronze,,,Thomas Eakins; William Rudolph O'Donovan,,City of Brooklyn,,,07/01/1993,,,Y         ,,,," US President, Civil War, Animal: equestrian",[signed] W R O'DONOVAN / & / THOMAS EAKINS / SCULPTORS / 1893-4
Abraham Lincoln,"Lincoln, Abraham",913,Y,Manhattan,Union Square Park,M089,5,2,North end,Y,"September 16, 1870",1870,Standing figure (over life-size) with integral plinth on pedestal,Figure H: 8'; Pedestal H: 11½'  W: 9½' D: 9½',T&A,"Bronze, Dix Island, ME granite",,,Henry Kirke Brown,,"Public subscription, sponsored by the Union League Club",,,07/01/1993,,,Y         ,,,, US President,
Amphibian,Amphibian,1840,Y,the Bronx,Crotona Park,X010,3,15,Crotona Pool Bath House,Y,ca. 1936,ca. 1936,Bas-relief roundel,,,Stone,,,Frederick George Richard Roth,,,,,11/03/1999,,,,,,,,
Abram Stevens Hewitt,"Hewitt, Abram Stevens",715,N,Manhattan,,,1,1,"Surrogate's Court/Hall of Records, 31 Chambers Street, Chambers Street façade, chief cornice, fourth from left",Y,1906,ca. 1906,standing figure (heroic scale),,,Westerly granite,,,Philip Martiny,Horgan and Slattery,"$75,000 (total for all 47 sculptures originally in and on Surrogate's Court/Hall of Records); purchase",,,07/01/1993,,,,,,,,
Accounts,,1956,N,Manhattan,,,,,"Municipal Building, Chambers and Centre Streets",Y,1912,ca. 1912,relief,,,Maine granite,,,Adolph Alexander Weinman,,purchase,,,,,,,,,, Sculpture,
Admiral David Glasgow Farragut,"Farragut, David Glasgow",466,Y,Manhattan,Madison Square Park,M052,5,3,25th Street between Fifth and Madison Avenues,Y,"May 25, 1881",1880,"Standing figure (over life-size) with integral plinth, on pedestal with extended exedra wings; pedestal has bas-relief of sword in ocean waves; each wing  has a life-size bas-relief of seated female figure","Figure H: 9'; Pedestal with exedra wings H: 9' W: 17'6"" D: 9'6""",MAS/ CPF/ Madison Sq. Pk.,Bronze; Coopersberg (Pennyslvania) black granite,Adolphe Gruet,,Augustus Saint-Gaudens,Stanford White,New York Farragut Association,,,07/01/1993,,,Y         ,,,," Civil War, War Memorial, Allegorical",Center: DAVID GLASGOW / FARRAGUT  West exedra: THAT THE MEMORY OF A / DARAING AND SAGACIOUS COMMANDER AND / GENTLE GREAT-SOULED MAN WHOSE LIFE FROM CHILD- / HOOD WAS GIVEN TO HIS COUNTRY BUT WHO / SERVED HER SUPREMELY IN THE WAR /  FOR THE UNION MDCCCLX I - MDCCCLXV / MAY BE PRESERVED AND /  HONORED AND THAT THEY WHO COME AFTER /  HIM AND WHO WILL OWE HIM SO MUCH MAY / SEE HIM AS HE WAS SEEN BY FRIEND AND /  FOE HIS COUNTRYMEN HAVE SET UP /  THIS MONUMENT AD MDCCCLXXXI.  East exedra: BORN NEAR KNOXVILLE TENNESSEE  / JULY V MDCCCI MID- / SHIPMAN MDCCCX BATTLE OF ESSEX /  AND PHOEBE MARCH XXVIII MDCCCXIV  / LIEUTENANT MDCCCXXV COMMAND- / ER MDCCCXLI CAPTAIN MDCCCLV /  BATTLE OF NEW ORLEANS APRIL /   XXV MDCCCLXII  REAR ADMIRAL /  MDCCCLXII BATTLE OF MOBILE BAY AUGUST /  V  MDCCCLXIV  VICE ADMIRAL DECEMBER XX III MDCCCLXIV FIRST ADMIRAL OF THE UNITED STATES OF AMERICA JULY XXVI MDCCCLXVI DIED AT PORTSMOUTH NEW HAMPSHIRE AUGUST XIV MDCCCLXX.  Bronze crab: AUGUSTUS SAINT GAUDENS SCULPTOR / STANFORD WHITE ARCHITECT
